,0,1,2
42,Applied Genetic Technologies Corporation,AGTC,http://investsnips.com/applied-genetic-technologies-corporation-agtc/
43,"Apricus Biosciences, Inc.",APRI,http://investsnips.com/apricus-biosciences-inc-apri/
44,Aptevo Therapeutics Inc.,APVO,http://investsnips.com/aptevo-therapeutics-inc/
45,"Aptose Biosciences, Inc.",APTO,http://investsnips.com/aptose-biosciences-inc-apto/
46,Arbutus Biopharma Corporation,ABUS,http://investsnips.com/arbutus-biopharma-corporation-abus/
47,"ARCA Biopharma, Inc.",ABIO,http://investsnips.com/arca-biopharma-inc-abio/
48,Arcturus Therapeutics,ARCT,http://investsnips.com/alcobra-ltd-adhd/
49,"Arcus Biosciences, Inc.",RCUS,http://investsnips.com/arcus-biosciences-inc-rcus/
50,"Ardelyx, Inc.",ARDX,http://investsnips.com/ardelyx-ardx/
51,"Arena Pharmaceuticals, Inc.",ARNA,http://investsnips.com/arena-pharmaceuticals-arna/
52,argenx SE,ARGX,http://investsnips.com/argenx-se-argx/
53,"Ariad Pharmaceuticals, Inc.",ARIA,http://investsnips.com/ariad-pharmaceuticals-inc-aria/
54,"ARMO BioSciences, Inc.",ARMO,http://investsnips.com/armo-biosciences-inc-armo/
55,"ArQule, Inc.",ARQL,http://investsnips.com/arqule-inc-arql/
56,Array BioPharma Inc.,ARRY,http://investsnips.com/array-biopharma-arry/
57,Arrowhead Research Corporation,ARWR,http://investsnips.com/arrowhead-research-corporation-arwr/
58,"Arsanis, Inc.",ASNS,http://investsnips.com/arsanis-inc-asns/
59,Ascendis Pharma,ASND,http://investsnips.com/ascendis-pharma-asnd/
60,"Assembly Biosciences, Inc.",ASMB,http://investsnips.com/assembly-biosciences-asmb/
61,"Asterias Biotherapeutics, Inc.",AST,http://investsnips.com/asterias-biotherapeutics-inc-ast/
62,AstraZeneca Plc.,AZN,http://investsnips.com/astrazeneca-azn/
63,"Atara Biotherapeutics, Inc.",ATRA,http://investsnips.com/atara-biotherapeutics-inc-atra/
64,"Athenex, Inc.",ANTX,http://investsnips.com/athenex-inc-antx/
65,"Athersys, Inc.",ATHX,http://investsnips.com/athersys-athx/
66,aTyr Pharma Inc.,LIFE,http://investsnips.com/atyr-pharma-inc-life/
67,"Audentes Therapeutics, Inc.",BOLD,http://investsnips.com/audentes-therapeutics-inc/
