,0,1,2
0,Johnson & Johnson,JNJ,http://investsnips.com/johnson-johnson-jnj/
1,"Juniper Pharmaceuticals, Inc.",JNP,http://investsnips.com/juniper-pharmaceuticals-inc-jnp/
2,Karyopharm Therapeutics Inc.,KPTI,http://investsnips.com/karyopharm-therapeutics-kpti/
3,KemPharm Inc.,KMPH,http://investsnips.com/kempharm-inc-kmph/
4,Lannett Co Inc.,LCI,http://investsnips.com/lannett-co-inc-lci/
5,Lipocine Inc.,LPCN,http://investsnips.com/lipocine-inc-lpcn/
6,McKesson Corporation,MCK,http://investsnips.com/mckesson-corporation-mck/
7,"Melinta Therapeutics, Inc.",MLNT,http://investsnips.com/cempra-cemp/
8,"Merck & Company, Inc.",MRK,http://investsnips.com/merck-company-mrk/
9,Midatech Pharma plc,MTP,http://investsnips.com/midatech-pharma-plc-mtp/
10,"Moleculin Biotech, Inc.",MBRX,http://investsnips.com/moleculin-biotech-inc/
11,Mylan Inc.,MYL,http://investsnips.com/mylan-myl/
12,"Neos Therapeutics, Inc.",NEOS,http://investsnips.com/neos-therapeutics-inc-neos/
13,"Novan, Inc.",NOVN,http://investsnips.com/novan-inc/
14,Novartis AG,NVS,http://investsnips.com/novartis-ag-nvs/
15,Novo Nordisk,NVO,http://investsnips.com/novo-nordisk-nvo/
16,"Novus Therapeutics, Inc.",NVUS,http://investsnips.com/novus-therapeutics-inc-nvus/
17,Oasmia Pharmaceutical AB,OASM,http://investsnips.com/oasmia-pharmaceutical-ab-oasm/
18,"Oculus Innovative Sciences, Inc.",OCLS,http://investsnips.com/oculus-innovative-sciences-ocls/
19,"Odonate Therapeutics, Inc.",ODT,http://investsnips.com/odonate-therapeutics-inc-odt/
20,Opko Health Inc.,OPK,http://investsnips.com/opko-health-opk/
21,"OptiNose, Inc.",OPTN,http://investsnips.com/optinose-inc-optn/
22,Oramed Pharmaceuticals Inc.,ORMP,http://investsnips.com/oramed-pharmaceuticals-ormp/
23,"Pacira Pharmaceuticals, Inc.",PCRX,http://investsnips.com/pacira-pharmaceuticals-pcrx/
24,Phibro Animal Health Corporation,PAHC,http://investsnips.com/phibro-animal-health-corporation-pahc/
25,"Pernix Therapeutics Holdings, Inc.",PTX,http://investsnips.com/pernix-therapeutics-holdings-inc-ptx/
26,Perrigo Company,PRGO,http://investsnips.com/perrigo-company-prgo/
27,"Pfizer, Inc.",PFE,http://investsnips.com/pfizer-pfe/
28,PLx Pharma Inc.,PLXP,http://investsnips.com/plx-pharma-inc-plxp/
29,"Prestige Brand Holdings, Inc.",PBH,http://investsnips.com/prestige-brand-holdings-pbh/
30,"ProPhase Labs, Inc.",PRPH,http://investsnips.com/prophase-labs-inc-prph/
31,"Recro Pharma, Inc.",REPH,http://investsnips.com/recro-pharma-reph/
32,Repligen Corporation,RGEN,http://investsnips.com/repligen-corporation-rgen/
33,Ritter Pharmaceuticals Inc.,RTTR,http://investsnips.com/ritter-pharmaceuticals-inc-rttr/
34,Sanofi,SNY,http://investsnips.com/sanofi-sny/
35,Savara Inc.,SVRA,http://investsnips.com/85031-2/
36,scPharmaceuticals Inc.,SCPH,http://investsnips.com/scpharmaceuticals-inc-scph/
37,"SCYNEXIS, Inc.",SCYX,http://investsnips.com/scynexis-inc-scyx/
38,Sol-Gel Technologies Ltd.,SLGL,http://investsnips.com/sol-gel-technologies-ltd-slgl/
39,SteadyMed Ltd,STDY,http://investsnips.com/steadymed-stdy/
40,"Supernus Pharmaceuticals, Inc.",SUPN,http://investsnips.com/supernus-pharmaceuticals-supn/
41,Taro Pharmaceutical Industries Ltd.,TARO,http://investsnips.com/taro-pharmaceutical-industries-taro/
42,"Teligent, Inc.",TLGT,http://investsnips.com/teligent-inc-tlgt/
43,"Tetraphase Pharmaceuticals, Inc.",TTPH,http://investsnips.com/tetraphase-pharmaceuticals-inc-ttph/
44,Teva Pharmaceutical Industries Limited,TEVA,http://investsnips.com/teva-pharmaceutical-industries-teva/
45,The Medicines Company,MDCO,http://investsnips.com/the-medicines-company-mdco/
46,"TherapeuticsMD, Inc.",TXMD,http://investsnips.com/therapeuticsmd-txmd/
47,"Valeant Pharmaceuticals International, Inc.",VRX,http://investsnips.com/valeant-pharmaceuticals-international-vrx/
48,VTV Therapeutics Inc.,VTVT,http://investsnips.com/vtv-therapeutics-inc-vtvt/
49,Zoetis Inc.,ZTS,http://investsnips.com/zoetis-zts/
50,"Zogenix, Inc.",ZGNX,http://investsnips.com/zogenix-zgnx/
51,Zosano Pharma Corporation,ZSAN,http://investsnips.com/zosano-pharma-corporation-zsan/
